tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,tree_age
24419,Permitted Site,Lophostemon confertus :: Brisbane Box,1711X Gough St,2.0,Sidewalk: Curb side : Cutout,Private,1995-05-20,18.0,3X3,37.78910432,-122.4255327,28.53
253739,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1 Henry Adams St,5.0,Sidewalk: Curb side : Cutout,Private,2017-11-03,3.0,3x6,37.76919968,-122.4034736,6.07
32653,DPW Maintained,Lophostemon confertus :: Brisbane Box,245 05th St,3.0,Sidewalk: Curb side : Cutout,Private,1996-10-23,10.0,,37.78103697,-122.4041947,27.1
83327,DPW Maintained,Lophostemon confertus :: Brisbane Box,1183 Jackson St,4.0,Sidewalk: Curb side : Cutout,Private,2009-06-30,6.0,3x3,37.79501279,-122.4143259,14.42
64007,DPW Maintained,Lophostemon confertus :: Brisbane Box,2160 Leavenworth St,1.0,Sidewalk: Curb side : Cutout,Private,1987-10-06,16.0,,37.80112405,-122.4176714,36.15
6974,DPW Maintained,Lophostemon confertus :: Brisbane Box,735 Fell St,6.0,Sidewalk: Curb side : Cutout,DPW,1992-02-04,6.0,3X3,37.77496244,-122.4300929,31.82
87507,DPW Maintained,Lophostemon confertus :: Brisbane Box,2201 03rd St,2.0,Sidewalk: Curb side : Cutout,DPW,1998-07-08,12.0,3x3,37.76175531,-122.3886138,25.4
87084,Permitted Site,Lophostemon confertus :: Brisbane Box,850 Jones St,1.0,Sidewalk: Curb side : Cutout,Private,2007-12-20,5.0,3x3,37.7862437,-122.4400766,15.95
173697,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1401X Mission St,4.0,Sidewalk: Curb side : Cutout,Private,2016-12-29,3.0,3X3,37.77519503,-122.415883,6.92
201596,DPW Maintained,Lophostemon confertus :: Brisbane Box,501 Donahue St,8.0,Sidewalk: Curb side : Cutout,Private,2017-07-12,3.0,Width 4ft,37.72859395,-122.3702699,6.38
10577,DPW Maintained,Lophostemon confertus :: Brisbane Box,1005X Harrison St,2.0,Sidewalk: Curb side : Cutout,DPW,2014-02-22,3.0,3x3,37.77713827,-122.4041178,9.77
9705,DPW Maintained,Lophostemon confertus :: Brisbane Box,499X Gough St,5.0,Sidewalk: Curb side : Cutout,DPW,2014-04-21,3.0,3X3,37.77746323,-122.4231786,9.61
13282,DPW Maintained,Lophostemon confertus :: Brisbane Box,2532 Lombard St,1.0,Sidewalk: Curb side : Cutout,DPW,1993-10-26,0.0,3x3,37.79903936,-122.443215,30.09
15020,DPW Maintained,Lophostemon confertus :: Brisbane Box,805 Mendell St,1.0,Sidewalk: Curb side : Cutout,Private,2000-02-16,6.0,3x3,37.73811525,-122.3871009,23.79
144192,DPW Maintained,Lophostemon confertus :: Brisbane Box,618 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2020-01-25,0.0,Width 4ft,37.77694012,-122.5026974,3.85
11236,DPW Maintained,Lophostemon confertus :: Brisbane Box,1100X Ingalls St,5.0,Sidewalk: Curb side : Cutout,DPW,2006-03-11,3.0,3X4,37.73074736,-122.3799936,17.72
29488,DPW Maintained,Lophostemon confertus :: Brisbane Box,1628X Ingalls St,1.0,Sidewalk: Curb side : Cutout,DPW,2006-02-28,12.0,3x3,37.72880911,-122.3843471,17.75
4366,Permitted Site,Lophostemon confertus :: Brisbane Box,972 Chenery St,1.0,Sidewalk: Curb side : Cutout,Private,1997-06-12,6.0,3x3,37.73552018,-122.4381216,26.47
6132,DPW Maintained,Lophostemon confertus :: Brisbane Box,900X Ellis St,4.0,Sidewalk: Curb side : Cutout,DPW,2011-05-03,3.0,4x4,37.78388578,-122.4210711,12.58
120644,Undocumented,Lophostemon confertus :: Brisbane Box,780x Jones St,2.0,Sidewalk: Curb side : Cutout,Private,2016-08-18,3.0,3x3,37.78850279,-122.4132793,7.28
29288,DPW Maintained,Lophostemon confertus :: Brisbane Box,400X Portola Dr,9.0,Median : Cutout,DPW,2005-10-14,3.0,3X3,37.7460472,-122.4494304,18.13
9658,DPW Maintained,Lophostemon confertus :: Brisbane Box,110 Gough St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-05-24,5.0,3x3,37.77421812,-122.4223451,11.52
12520,DPW Maintained,Lophostemon confertus :: Brisbane Box,25 Lake St,5.0,Sidewalk: Curb side : Cutout,Private,2008-02-24,2.0,3X3,37.7868238,-122.4595975,15.76
29514,Permitted Site,Lophostemon confertus :: Brisbane Box,1900X Ingalls St,5.0,Sidewalk: Curb side : Cutout,Private,2006-02-28,8.0,3x3,37.72696599,-122.3860344,17.75
26700,Permitted Site,Lophostemon confertus :: Brisbane Box,2648 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,1998-02-05,6.0,3x3,37.75605633,-122.3881929,25.82
23215,DPW Maintained,Lophostemon confertus :: Brisbane Box,600X Van Ness Ave,3.0,Median : Cutout,DPW,2005-06-09,6.0,3X3,37.78101698,-122.4203528,18.48
17366,DPW Maintained,Lophostemon confertus :: Brisbane Box,2308X Gough St,3.0,Sidewalk: Curb side : Cutout,DPW,2011-06-09,3.0,3x3,37.79450678,-122.4264484,12.48
33333,DPW Maintained,Lophostemon confertus :: Brisbane Box,3042 Octavia St,1.0,Sidewalk: Curb side : Cutout,Private,2006-04-13,8.0,,37.80039313,-122.4293328,17.63
48826,DPW Maintained,Lophostemon confertus :: Brisbane Box,435 Pacific Ave,2.0,Sidewalk: Curb side : Cutout,Private,2002-11-07,6.0,,37.79737288,-122.4026597,21.06
100339,DPW Maintained,Lophostemon confertus :: Brisbane Box,1190 Mission St,2.0,Sidewalk: Curb side : Cutout,Private,2012-08-06,2.0,3x3,37.77789539,-122.412734,11.32
27467,Permitted Site,Lophostemon confertus :: Brisbane Box,3255 03rd St,1.0,Sidewalk: Curb side : Cutout,Port,1999-12-10,3.0,3X3,37.74844427,-122.386879,23.97
